"cust","product","nj_max","day","month","year","ny_max","day-2","month-2","year-2","ct_max","day-3","month-3","year-3"
"Bloom","Bread",4778,25,2,2000,3792,13,3,2006,3261,14,9,2007
"Bloom","Cookies",4240,20,9,2005,4570,8,10,2002,4546,7,7,2003
"Bloom","Pepsi",4515,30,11,2008,4232,2,12,2001,94,10,7,2000
"Bloom","Yogurt",3172,11,9,2001,4043,28,4,2005,4004,17,9,2003
"Emily","Bread",4467,2,4,2005,2071,23,12,2005,1626,4,6,2001
"Emily","Coke",3314,3,6,2004,4258,29,2,2001,4379,25,8,2002
"Emily","Eggs",4689,20,10,2004,4754,18,8,2007,2722,10,11,2004
"Emily","Fruits",4369,11,1,2000,3864,14,12,2003,3055,6,4,2008
"Emily","Milk",3839,3,9,2008,4986,12,11,2002,3257,2,4,2008
"Emily","Pepsi",2591,14,1,2004,4901,11,5,2005,4531,22,3,2004
"Emily","Yogurt",2336,9,3,2003,3822,28,3,2005,3765,4,8,2004
"Helen","Bread",2513,11,10,2007,4901,30,5,2008,4114,12,12,2004
"Helen","Butter",3288,10,2,2005,4969,4,6,2001,306,25,11,2000
"Helen","Cookies",1965,15,7,2005,3494,28,8,2002,1194,23,12,2004
"Helen","Fruits",415,5,6,2003,2774,3,5,2006,4015,25,12,2006
"Helen","Milk",1839,21,1,2006,4249,28,2,2006,4429,6,1,2003
"Helen","Yogurt",2096,19,1,2007,4909,8,8,2007,3832,20,6,2004
"Knuth","Bread",1013,2,11,2002,3370,14,4,2002,4372,27,3,2008
"Knuth","Eggs",2353,18,10,2001,4313,12,2,2007,4317,2,11,2004
"Knuth","Milk",NULL,NULL,NULL,NULL,2424,13,4,2006,58,25,3,2001
"Knuth","Pepsi",4689,27,7,2008,4942,11,9,2004,3760,6,9,2006
"Knuth","Soap",657,9,2,2005,4307,16,12,2001,2915,23,11,2002
"Knuth","Yogurt",2167,9,6,2001,3705,18,9,2001,301,22,4,2005
"Sam","Bread",3809,26,9,2001,2282,11,4,2006,1599,29,8,2000
"Sam","Butter",4453,18,4,2004,4893,30,9,2006,NULL,NULL,NULL,NULL
"Sam","Cookies",NULL,NULL,NULL,NULL,3376,20,11,2004,2523,8,2,2008
"Sam","Eggs",1114,10,5,2008,3363,11,5,2007,NULL,NULL,NULL,NULL
"Sam","Fruits",4793,15,9,2006,4738,2,11,2004,3399,21,11,2006
"Sam","Pepsi",3877,13,9,2002,4797,28,9,2008,4865,19,12,2002
"Sam","Soap",2356,4,1,2003,3260,29,9,2007,2461,6,1,2003
